# Planetary Systems Data
# ----------------------
#
# This data was retrieved from the bibliographic references given in Espinoza & Jordán (2015), Table 1. 
#
# Planet name 	 Rp/R_* 	 Upper Error 	 Lower Error 	 Inclination 	 Upper Error 	 Lower Error 	 a/R_* 	 Upper error 	 Lower error 	 Eccentricity 	 Upper Error 	 Lower Error 	 omega 	 Upper Error 	 Lower Error 	 u1 	 Upper error 	 Lower error 	 u2 	 Upper Error 	 Lower Error 
Kepler-423b	0.126620	0.000290	0.000280	87.78000	0.100000	0.110000	8.1630	0.030	0.034	0	 0 	 0	0	 0 	 0	0.459	0.017	0.017	0.151	0.038	0.035
Kepler-77b	0.099580	0.000260	0.000260	88.00000	0.100000	0.120000	9.7490	0.054	0.055	0	 0 	 0	0	 0 	 0	0.514	0.019	0.018	0.118	0.037	0.036
Kepler-17b	0.133540	0.000170	0.000190	89.71000	0.290000	0.130000	5.7070	0.010	0.008	0	 0 	 0	0	 0 	 0	0.412	0.015	0.015	0.180	0.035	0.032
Kepler-6b	0.094120	0.000080	0.000130	89.39000	0.260000	0.380000	7.5510	0.029	0.011	0	 0 	 0	0	 0 	 0	0.480	0.007	0.007	0.138	0.015	0.016
Kepler-422b	0.096250	0.000250	0.000220	88.09000	0.050000	0.060000	13.826	0.073	0.076	0	 0 	 0	0	 0 	 0	0.438	0.026	0.024	0.171	0.042	0.047
Kepler-12b	0.118790	0.000130	0.000130	88.79000	0.110000	0.130000	8.0180	0.019	0.020	0	 0 	 0	0	 0 	 0	0.428	0.007	0.008	0.124	0.018	0.017
Kepler-2b	0.077640	0.000040	0.000040	83.12000	0.040000	0.050000	4.1520	0.006	0.006	0	 0 	 0	0	 0 	 0	0.357	0.007	0.007	0.162	0.011	0.012
Kepler-5b	0.079720	0.000060	0.000090	89.39000	0.610000	0.200000	6.4590	0.023	0.008	0	 0 	 0	0	 0 	 0	0.368	0.009	0.011	0.142	0.020	0.019
Kepler-13b	0.085530	0.000070	0.000070	85.82000	0.100000	0.120000	4.4340	0.011	0.010	0	 0 	 0	0	 0 	 0	0.308	0.007	0.007	0.222	0.014	0.013
Kepler-93b 	0.014751	0.000059	0.000059	89.18300	0.044000	0.044000	12.496	0.015	0.015	0	 0 	 0	0	 0 	 0	0.449	0.063	0.063	0.188	0.089	0.089
Kepler-186f 	0.020500	0.001200	0.001300	89.96000	0.040000	0.100000	178.00	65	21	0	 0 	 0	0	 0 	 0	0.70	0.39	0.38	-0.16	0.31	0.30
Kepler-296f 	0.036200	0.002200	0.001800	89.95000	0.050000	0.120000	137.00	34	15	0	 0 	 0	0	 0 	 0	0.35	0.31	0.32	-0.01	0.35	0.20
Kepler-296e 	0.029700	0.002900	0.003700	89.89000	0.110000	0.260000	71.000	29	10	0	 0 	 0	0	 0 	 0	1.52	0.32	0.34	-0.70	0.23	0.27
Kepler-436b 	0.035400	0.002400	0.003500	89.93000	0.070000	0.180000	104.00	34	16	0	 0 	 0	0	 0 	 0	0.67	0.44	0.48	-0.14	0.38	0.31
Kepler-439b 	0.023920	0.000990	0.001110	89.95000	0.050000	0.120000	142.00	18	15	0	 0 	 0	0	 0 	 0	0.39	0.28	0.34	-0.08	0.25	0.23
Kepler-440b 	0.030380	0.001120	0.002700	89.93000	0.070000	0.180000	99.000	10.2	9.4	0	 0 	 0	0	 0 	 0	0.34	0.24	0.23	-0.05	0.21	0.19
Kepler-441b 	0.028000	0.001700	0.001400	89.97000	0.030000	0.070000	260.00	83	31	0	 0 	 0	0	 0 	 0	0.28	0.27	0.28	-0.02	0.30	0.20
Kepler-442b 	0.021100	0.001900	0.001600	89.94000	0.060000	0.120000	146.00	80	22	0	 0 	 0	0	 0 	 0	1.03	0.50	0.49	-0.43	0.32	0.43
Kepler-443b 	0.030400	0.002200	0.002200	89.94000	0.060000	0.130000	151.00	39	22	0	 0 	 0	0	 0 	 0	0.65	0.41	0.48	-0.15	0.25	0.31
KOI-206b 	0.065900	0.000150	0.000150	89.21000	0.520000	0.900000	6.4400	0.62	0.62	0.119	0.079	0.079	68	67	36	0.325	0.022	0.022	0.220	0.045	0.045
KOI-680b 	0.063840	0.000200	0.000200	85.51000	0.520000	0.520000	6.3500	0.51	0.51	0.114	0.077	0.077	104	36	36	0.374	0.024	0.024	0.180	0.042	0.042
