# Host stars of the planetary systems data
# ----------------------------------------
#
# This data was retrieved from the bibliographic references given in Espinoza & Jordán (2015), Table 2.
#
# Stellar host 	 Teff (K) 	 Upper error 	 Lower error 	 logg 	 Upper Error 	 Lower Error 	 [M/H] 	 Upper error 	 Lower error 	 Vturb (km/s) 	 Upper error 	 Lower error 
Kepler-423	5790	116	116	4.57	0.12	0.12	0.26	0.12	0.12	-999 	 0 	 0
Kepler-77 	5520	60	60	4.40	0.10	0.10	0.20	0.05	0.05	1.80	0.3	0.3
Kepler-17 	5781	85	85	4.53	0.12	0.12	0.26	0.10	0.10	-999 	 0 	 0
Kepler-6 	5647	44	44	4.236	0.011	0.011	0.34	0.04	0.04	-999 	 0 	 0
Kepler-422 	5972	84	84	4.50	0.10	0.10	0.23	0.09	0.09	-999 	 0 	 0
Kepler-12 	5947	100	100	4.175	0.015	0.011	0.07	0.04	0.04	-999 	 0 	 0
Kepler-2 	6366	78	80	4.01	0.01	0.01	0.28	0.11	0.11	-999 	 0 	 0
Kepler-5 	6297	60	60	3.96	0.10	0.10	0.04	0.06	0.06	-999 	 0 	 0
Kepler-13 	7650	250	250	4.2	0.50	0.50	0.2	0.20	0.20	-999 	 0 	 0
Kepler-93 	5669	75	75	4.470	0.004	0.004	-0.18	0.10	0.10	-999 	 0 	 0
Kepler-186 	3755	90	90	4.736	0.020	0.019	-0.26	0.12	0.12	-999 	 0 	 0
Kepler-296 	3572	80	80	4.833	0.025	0.041	-0.12	0.12	0.12	-999 	 0 	 0
Kepler-436 	4651	100	100	4.619	0.015	0.028	0.01	0.10	0.10	-999 	 0 	 0
Kepler-439 	5431	100	100	4.514	0.035	0.073	0.02	0.10	0.10	-999 	 0 	 0
Kepler-440 	4134	154	154	4.706	0.049	0.016	-0.30	0.15	0.15	-999 	 0 	 0
Kepler-441 	4340	177	177	4.715	0.047	0.024	-0.57	0.18	0.18	-999 	 0 	 0
Kepler-442 	4402	100	100	4.673	0.018	0.021	-0.37	0.10	0.10	-999 	 0 	 0
Kepler-443 	4723	100	100	4.614	0.016	0.029	-0.01	0.10	0.10	-999 	 0 	 0
KOI-206 	6360	140	140	3.892	0.056	0.056	-0.01	0.20	0.20	-999 	 0 	 0
KOI-680 	6161	94	94	3.613	0.047	0.070	-0.18	0.11	0.11	-999 	 0 	 0
