#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-01-16T14:41:16 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ54b922f76911	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/529/A75&tab:{J/A+A/529/A75/table-af}&key:source=J/A+A/529/A75/table-af&HTTPPRM:&
#-source=J/A+A/529/A75/table-af
#-order=I
#-out=logg
#-out=Teff
#-out=Z
#-out=xi
#-out=a
#-out=b
#-out=Filt
#Filt=Kp
#-out=Met
#Met=L
#-out=Mod
#Mod=A
#-out=c
#-out=d
#-out=e
#-out=f
#

#RESOURCE=yCat_35290075
#Name: J/A+A/529/A75
#Title: Limb-darkening coefficients (Claret+, 2011)
#Table	J_A_A_529_A75_table-af:
#Name: J/A+A/529/A75/table-af
#Title: 2-parameter limb darkening coefficients: quadratic {\em(a,b)}, root-square {\em(c,d)} and logarithmic {\em(e,f)} (equations 2, 3 and 4)
#Column	logg	(F5.2)	[0/5] Surface gravity	[ucd=phys.gravity]
#Column	Teff	(F6)	[2000/50000] Effective temperature	[ucd=phys.temperature.effective]
#Column	Z	(F4.1)	[-5/1] Metallicity (log[M/H])	[ucd=phys.abund.Z]
#Column	xi	(F4.1)	[0/8] Microturbulent velocity	[ucd=phys.veloc]
#Column	a	(F7.4)	Quadratic limb darkening coefficient a (G2)	[ucd=phot.limbDark]
#Column	b	(F7.4)	Quadratic limb darkening coefficient b (G2)	[ucd=phot.limbDark]
#Column	Filt	(A2)	Filter (G1)	[ucd=meta.id;instr.filter]
#Column	Met	(A1)	[LF] Method (Least-Square or Flux Conservation)	[ucd=meta.id;stat.fit]
#Column	Mod	(A1)	Model used: {\bf A}TLAS or {\bf P}HOENIX	[ucd=instr.setup;meta.modelled]
#Column	c	(F7.4)	Root-square limb darkening coefficient c (G2)	[ucd=phot.limbDark]
#Column	d	(F7.4)	Root-square limb darkening coefficient d (G2)	[ucd=phot.limbDark]
#Column	e	(F7.4)	Logarithmic limb darkening coefficient e (G2)	[ucd=phot.limbDark]
#Column	f	(F7.4)	Logarithmic limb darkening coefficient f (G2)	[ucd=phot.limbDark]
#logg	Teff	Z	xi	a	b	Filt	Met	Mod	c	d	e	f
#[cm/s2]	K	[Sun]	km/s	 	 	 	 	 	 	 	 	
#-----	------	----	----	-------	-------	--	-	-	-------	-------	-------	-------
 0.00	  3500	-5.0	 2.0	 0.5878	 0.0535	Kp	L	A	 0.5476	 0.1151	 0.6490	 0.0503
 0.50	  3500	-5.0	 2.0	 0.5475	 0.0918	Kp	L	A	 0.4868	 0.1857	 0.6513	 0.0833
 1.00	  3500	-5.0	 2.0	 0.4609	 0.1714	Kp	L	A	 0.3539	 0.3375	 0.6537	 0.1533
 1.50	  3500	-5.0	 2.0	 0.3828	 0.2411	Kp	L	A	 0.2323	 0.4747	 0.6539	 0.2156
 2.00	  3500	-5.0	 2.0	 0.3483	 0.2720	Kp	L	A	 0.1775	 0.5369	 0.6543	 0.2437
 2.50	  3500	-5.0	 2.0	 0.3484	 0.2736	Kp	L	A	 0.1773	 0.5391	 0.6562	 0.2449
 3.00	  3500	-5.0	 2.0	 0.3712	 0.2569	Kp	L	A	 0.2132	 0.5024	 0.6597	 0.2290
 0.00	  3750	-5.0	 2.0	 0.5863	 0.0545	Kp	L	A	 0.5441	 0.1190	 0.6489	 0.0517
 0.50	  3750	-5.0	 2.0	 0.5573	 0.0828	Kp	L	A	 0.5004	 0.1704	 0.6511	 0.0759
 1.00	  3750	-5.0	 2.0	 0.5073	 0.1267	Kp	L	A	 0.4226	 0.2575	 0.6507	 0.1154
 1.50	  3750	-5.0	 2.0	 0.3930	 0.2249	Kp	L	A	 0.2440	 0.4552	 0.6472	 0.2044
 2.00	  3750	-5.0	 2.0	 0.2546	 0.3387	Kp	L	A	 0.0250	 0.6929	 0.6383	 0.3098
 2.50	  3750	-5.0	 2.0	 0.1743	 0.4020	Kp	L	A	-0.1054	 0.8328	 0.6309	 0.3704
 3.00	  3750	-5.0	 2.0	 0.1495	 0.4288	Kp	L	A	-0.1475	 0.8864	 0.6364	 0.3947
 0.00	  4000	-5.0	 2.0	 0.5930	 0.0474	Kp	L	A	 0.5527	 0.1088	 0.6480	 0.0465
 0.50	  4000	-5.0	 2.0	 0.5534	 0.0855	Kp	L	A	 0.4921	 0.1797	 0.6508	 0.0795
 1.00	  4000	-5.0	 2.0	 0.5000	 0.1361	Kp	L	A	 0.4093	 0.2763	 0.6541	 0.1241
 1.50	  4000	-5.0	 2.0	 0.4355	 0.1953	Kp	L	A	 0.3075	 0.3933	 0.6563	 0.1773
 2.00	  4000	-5.0	 2.0	 0.3480	 0.2584	Kp	L	A	 0.1690	 0.5343	 0.6414	 0.2377
 2.50	  4000	-5.0	 2.0	 0.1999	 0.3665	Kp	L	A	-0.0672	 0.7767	 0.6179	 0.3418
 3.00	  4000	-5.0	 2.0	 0.0881	 0.4420	Kp	L	A	-0.2505	 0.9603	 0.5947	 0.4181
 3.50	  4000	-5.0	 2.0	 0.0223	 0.4928	Kp	L	A	-0.3643	 1.0837	 0.5886	 0.4696
 0.00	  4250	-5.0	 2.0	 0.5944	 0.0466	Kp	L	A	 0.5534	 0.1087	 0.6486	 0.0462
 0.50	  4250	-5.0	 2.0	 0.5511	 0.0880	Kp	L	A	 0.4862	 0.1876	 0.6517	 0.0826
 1.00	  4250	-5.0	 2.0	 0.4920	 0.1443	Kp	L	A	 0.3931	 0.2967	 0.6557	 0.1326
 1.50	  4250	-5.0	 2.0	 0.4316	 0.2010	Kp	L	A	 0.2965	 0.4096	 0.6593	 0.1839
 2.00	  4250	-5.0	 2.0	 0.3772	 0.2495	Kp	L	A	 0.2095	 0.5084	 0.6598	 0.2280
 2.50	  4250	-5.0	 2.0	 0.2893	 0.3188	Kp	L	A	 0.0620	 0.6683	 0.6524	 0.2961
 3.00	  4250	-5.0	 2.0	 0.2032	 0.3635	Kp	L	A	-0.0694	 0.7813	 0.6190	 0.3417
 3.50	  4250	-5.0	 2.0	 0.0991	 0.4197	Kp	L	A	-0.2338	 0.9282	 0.5816	 0.4006
 4.00	  4250	-5.0	 2.0	 0.0334	 0.4411	Kp	L	A	-0.3388	 1.0076	 0.5437	 0.4286
 0.00	  4500	-5.0	 2.0	 0.5770	 0.0642	Kp	L	A	 0.5268	 0.1409	 0.6507	 0.0612
 0.50	  4500	-5.0	 2.0	 0.5362	 0.1029	Kp	L	A	 0.4620	 0.2169	 0.6536	 0.0959
 1.00	  4500	-5.0	 2.0	 0.4823	 0.1545	Kp	L	A	 0.3756	 0.3189	 0.6578	 0.1423
 1.50	  4500	-5.0	 2.0	 0.4234	 0.2100	Kp	L	A	 0.2794	 0.4320	 0.6618	 0.1932
 2.00	  4500	-5.0	 2.0	 0.3692	 0.2609	Kp	L	A	 0.1898	 0.5376	 0.6655	 0.2402
 2.50	  4500	-5.0	 2.0	 0.3170	 0.3064	Kp	L	A	 0.1018	 0.6377	 0.6656	 0.2836
 3.00	  4500	-5.0	 2.0	 0.2609	 0.3475	Kp	L	A	 0.0062	 0.7384	 0.6577	 0.3252
 3.50	  4500	-5.0	 2.0	 0.1724	 0.3992	Kp	L	A	-0.1395	 0.8761	 0.6310	 0.3801
 4.00	  4500	-5.0	 2.0	 0.0833	 0.4387	Kp	L	A	-0.2797	 0.9917	 0.5900	 0.4242
 0.00	  4750	-5.0	 2.0	 0.5477	 0.0920	Kp	L	A	 0.4813	 0.1940	 0.6526	 0.0857
 0.50	  4750	-5.0	 2.0	 0.5119	 0.1262	Kp	L	A	 0.4232	 0.2626	 0.6554	 0.1167
 1.00	  4750	-5.0	 2.0	 0.4715	 0.1650	Kp	L	A	 0.3572	 0.3411	 0.6589	 0.1521
 1.50	  4750	-5.0	 2.0	 0.4208	 0.2135	Kp	L	A	 0.2733	 0.4408	 0.6633	 0.1968
 2.00	  4750	-5.0	 2.0	 0.3686	 0.2628	Kp	L	A	 0.1861	 0.5440	 0.6673	 0.2426
 2.50	  4750	-5.0	 2.0	 0.3239	 0.3037	Kp	L	A	 0.1109	 0.6316	 0.6693	 0.2811
 3.00	  4750	-5.0	 2.0	 0.2861	 0.3348	Kp	L	A	 0.0457	 0.7044	 0.6678	 0.3117
 3.50	  4750	-5.0	 2.0	 0.2535	 0.3566	Kp	L	A	-0.0065	 0.7559	 0.6605	 0.3331
 4.00	  4750	-5.0	 2.0	 0.1721	 0.4054	Kp	L	A	-0.1446	 0.8896	 0.6378	 0.3859
 4.50	  4750	-5.0	 2.0	 0.0979	 0.4334	Kp	L	A	-0.2601	 0.9789	 0.5985	 0.4189
 0.00	  5000	-5.0	 2.0	 0.5142	 0.1221	Kp	L	A	 0.4283	 0.2543	 0.6530	 0.1129
 0.50	  5000	-5.0	 2.0	 0.4876	 0.1477	Kp	L	A	 0.3846	 0.3064	 0.6555	 0.1364
