#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-01-16T15:24:24 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ54b92cfa4779	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/546/A14&tab:{J/A+A/546/A14/limb1-4}&key:source=J/A+A/546/A14/limb1-4&HTTPPRM:&
#-source=J/A+A/546/A14/limb1-4
#-order=I
#-out=logg
#-out=Teff
#-out=Z
#-out=xi
#-out=Filt
#Filt=Kp
#-out=Met
#Met=L
#-out=Mod
#Mod=qs
#-out=u
#-out=Merit
#Merit=Merit
#-out=a
#-out=b
#-out=c
#-out=d
#-out=e
#-out=f
#

#RESOURCE=yCat_35460014
#Name: J/A+A/546/A14
#Title: Limb-darkening for CoRoT, Kepler, Spitzer (Claret+, 2012)
#Table	J_A_A_546_A14_limb1-4:
#Name: J/A+A/546/A14/limb1-4
#Title: 1- and 2-parameter limb-darkening coefficients for quasi-spherical PHOENIX models: quadratic {\em(a,b)}, root-square {\em(c,d)} and logarithmic {\em(e,f)}, (equations 2, 3 and 4)
#Column	logg	(F5.2)	[2.5/5.5] Surface gravity	[ucd=phys.gravity]
#Column	Teff	(F6)	[1500/4800] Effective temperature	[ucd=phys.temperature.effective]
#Column	Z	(F4.1)	[0] Metallicity (log[M/H])	[ucd=phys.abund.Z]
#Column	xi	(F4.1)	[2] Microturbulent velocity {xi}	[ucd=phys.veloc]
#Column	Filt	(A2)	Filter (G1)	[ucd=meta.id;instr.filter]
#Column	Met	(A1)	[LF] Method (Least-Square or Flux Conservation)	[ucd=meta.id;stat.fit]
#Column	Mod	(A2)	[qs] quasi-spherical PHOENIX model	[ucd=stat.param;meta.modelled]
#Column	u	(F8.4)	Linear limb darkening coefficient u (G2)	[ucd=pos.distance]
#Column	Merit	(a5)	Corresponding figure of merit	[ucd=meta.ref.url]
#Column	a	(F8.4)	Quadratic limb darkening coefficient a (G2)	[ucd=phot.limbDark]
#Column	b	(F8.4)	Quadratic limb darkening coefficient b (G2)	[ucd=phot.limbDark]
#Column	c	(F8.4)	Root-square limb darkening coefficient c (G2)	[ucd=phot.limbDark]
#Column	d	(F8.4)	Root-square limb darkening coefficient d (G2)	[ucd=phot.limbDark]
#Column	e	(F8.4)	Logarithmic limb darkening coefficient e (G2)	[ucd=phot.limbDark]
#Column	f	(F8.4)	Logarithmic limb darkening coefficient f (G2)	[ucd=phot.limbDark]
logg	Teff	Z	xi	Filt	Met	Mod	u	Merit	a	b	c	d	e	f
[cm/s2]	K	[Sun]	km/s	 	 	 	 	 	 	 	 	 	 	
-----	------	----	----	--	-	--	--------	-----	--------	--------	--------	--------	--------	--------
 2.50	  1500	 0.0	 2.0	Kp	L	qs	  1.0458	Merit	  1.1605	 -0.1704	  1.3359	 -0.4463	  0.9561	 -0.1726
 3.00	  1500	 0.0	 2.0	Kp	L	qs	  1.0227	Merit	  1.2133	 -0.2832	  1.5726	 -0.8461	  0.8622	 -0.3089
 3.50	  1500	 0.0	 2.0	Kp	L	qs	  1.0344	Merit	  1.2794	 -0.3642	  1.7342	 -1.0770	  0.8292	 -0.3946
 4.00	  1500	 0.0	 2.0	Kp	L	qs	  1.0850	Merit	  1.4811	 -0.5890	  2.1821	 -1.6889	  0.7593	 -0.6259
 4.50	  1500	 0.0	 2.0	Kp	L	qs	  1.2569	Merit	  2.1886	 -1.3862	  3.6816	 -3.7335	  0.5198	 -1.4151
 5.00	  1500	 0.0	 2.0	Kp	L	qs	  1.1736	Merit	  1.7921	 -0.9205	  2.8498	 -2.5813	  0.6712	 -0.9643
 5.50	  1500	 0.0	 2.0	Kp	L	qs	  1.1218	Merit	  1.6779	 -0.8277	  2.5843	 -2.2526	  0.6784	 -0.8507
 2.50	  1600	 0.0	 2.0	Kp	L	qs	  0.9624	Merit	  0.8691	  0.1386	  0.6508	  0.4794	  1.0481	  0.1648
 3.00	  1600	 0.0	 2.0	Kp	L	qs	  0.9376	Merit	  0.9152	  0.0334	  0.8894	  0.0741	  0.9535	  0.0305
 3.50	  1600	 0.0	 2.0	Kp	L	qs	  0.9567	Merit	  1.0048	 -0.0715	  1.1106	 -0.2368	  0.9134	 -0.0833
 4.00	  1600	 0.0	 2.0	Kp	L	qs	  0.9745	Merit	  1.0571	 -0.1228	  1.2310	 -0.3948	  0.9014	 -0.1403
 4.50	  1600	 0.0	 2.0	Kp	L	qs	  1.0116	Merit	  1.1957	 -0.2738	  1.5479	 -0.8257	  0.8553	 -0.3003
 5.00	  1600	 0.0	 2.0	Kp	L	qs	  1.0364	Merit	  1.2864	 -0.3720	  1.7485	 -1.0966	  0.8269	 -0.4021
 5.50	  1600	 0.0	 2.0	Kp	L	qs	  1.0761	Merit	  1.4354	 -0.5349	  2.0662	 -1.5250	  0.7810	 -0.5661
 2.50	  1700	 0.0	 2.0	Kp	L	qs	  0.8906	Merit	  0.6582	  0.3453	  0.1510	  1.1380	  1.0982	  0.3994
 3.00	  1700	 0.0	 2.0	Kp	L	qs	  0.8823	Merit	  0.7844	  0.1454	  0.6035	  0.4290	  0.9640	  0.1572
 3.50	  1700	 0.0	 2.0	Kp	L	qs	  0.9004	Merit	  0.8556	  0.0666	  0.7834	  0.1801	  0.9359	  0.0683
