#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-01-16T15:27:07 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ54b92db84b6d	
#INFO	-out.max=unlimited	
#INFO	queryParameters=19	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/546/A14&tab:{J/A+A/546/A14/limb6}&key:source=J/A+A/546/A14/limb6&HTTPPRM:&
#-source=J/A+A/546/A14/limb6
#-order=I
#-out=logg
#-out=Teff
#-out=Z
#-out=xi
#-out=a1
#-out=a2
#-out=a3
#-out=a4
#-out=Filt
#Filt=Kp
#-out=Met
#Met=L
#-out=Mod
#Mod=qs
#

#RESOURCE=yCat_35460014
#Name: J/A+A/546/A14
#Title: Limb-darkening for CoRoT, Kepler, Spitzer (Claret+, 2012)
#Table	J_A_A_546_A14_limb6:
#Name: J/A+A/546/A14/limb6
#Title: Limb-darkening coefficients for the non-linear law for spherical and quasi-spherical PHOENIX models
#Column	logg	(F5.2)	[2.5/5.5] Surface gravity	[ucd=phys.gravity]
#Column	Teff	(F6)	[1500/4800] Effective temperature	[ucd=phys.temperature.effective]
#Column	Z	(F4.1)	[0] Metallicity (log[M/H])	[ucd=phys.abund.Z]
#Column	xi	(F4.1)	[2] Microturbulent velocity {xi}	[ucd=phys.veloc]
#Column	a1	(F9.4)	Equation 6 limb darkening coefficient a1 (G2)	[ucd=phot.limbDark]
#Column	a2	(F9.4)	Equation 6 limb darkening coefficient a2 (G2)	[ucd=phot.limbDark]
#Column	a3	(F9.4)	Equation 6 limb darkening coefficient a3 (G2)	[ucd=phot.limbDark]
#Column	a4	(F9.4)	Equation 6 limb darkening coefficient a4 (G2)	[ucd=phot.limbDark]
#Column	Filt	(A2)	Filter (G1)	[ucd=meta.id;instr.filter]
#Column	Met	(A1)	[L] Method (Least-Square)	[ucd=meta.id;stat.fit]
#Column	Mod	(A2)	[qs s] quasi-spherical/spherical PHOENIX model	[ucd=stat.param;meta.modelled]
#logg	Teff	Z	xi	a1	a2	a3	a4	Filt	Met	Mod
#[cm/s2]	K	[Sun]	km/s	 	 	 	 	 	 	
#-----	------	----	----	---------	---------	---------	---------	--	-	--
 2.50	  1500	 0.0	 2.0	  11.8349	 -26.2207	  26.3363	  -9.1097	Kp	L	qs
 3.00	  1500	 0.0	 2.0	   1.0695	  -3.1027	   4.8299	  -1.7909	Kp	L	qs
 3.50	  1500	 0.0	 2.0	   1.4753	  -4.2202	   5.9093	  -2.1168	Kp	L	qs
 4.00	  1500	 0.0	 2.0	   3.3628	  -8.4063	   9.4077	  -3.0183	Kp	L	qs
 4.50	  1500	 0.0	 2.0	  -3.0322	  10.3821	 -14.3153	   7.5778	Kp	L	qs
 5.00	  1500	 0.0	 2.0	   4.4727	 -10.3271	  10.0665	  -2.6449	Kp	L	qs
 5.50	  1500	 0.0	 2.0	   1.0926	  -0.6985	  -0.8933	   1.6455	Kp	L	qs
 2.50	  1600	 0.0	 2.0	  12.1054	 -25.1140	  24.3158	  -8.3085	Kp	L	qs
 3.00	  1600	 0.0	 2.0	  -0.7175	   2.2103	  -0.8258	   0.1405	Kp	L	qs
 3.50	  1600	 0.0	 2.0	  -0.4470	   1.0538	   0.5603	  -0.3620	Kp	L	qs
 4.00	  1600	 0.0	 2.0	  -0.3135	   0.3656	   1.4808	  -0.7293	Kp	L	qs
 4.50	  1600	 0.0	 2.0	   0.7426	  -2.4209	   4.2246	  -1.6048	Kp	L	qs
 5.00	  1600	 0.0	 2.0	   1.4115	  -3.9520	   5.5202	  -1.9339	Kp	L	qs
 5.50	  1600	 0.0	 2.0	   2.1393	  -5.1018	   5.8477	  -1.6908	Kp	L	qs
 2.50	  1700	 0.0	 2.0	  14.8690	 -29.5244	  27.2745	  -9.0731	Kp	L	qs
 3.00	  1700	 0.0	 2.0	   0.5190	   0.3696	   0.2543	  -0.0982	Kp	L	qs
 3.50	  1700	 0.0	 2.0	  -0.5630	   2.1523	  -1.0225	   0.2588	Kp	L	qs
 4.00	  1700	 0.0	 2.0	  -0.9032	   2.5901	  -1.2550	   0.3167	Kp	L	qs
 4.50	  1700	 0.0	 2.0	  -1.0343	   2.6210	  -0.9999	   0.1310	Kp	L	qs
 5.00	  1700	 0.0	 2.0	  -0.5842	   1.1568	   0.6870	  -0.4879	Kp	L	qs
 5.50	  1700	 0.0	 2.0	   0.9176	  -2.6915	   4.4477	  -1.6869	Kp	L	qs
